graph_class,n,p,seed,graph_seed,m_edges,kind,periodic_K,lam0,lam_star_grid,J_star_grid,budget_evals,inner,outer_max,L_vqe,eta0,eta_pow,step_clip,fd_c_frac,auc_id,auc_fd,delta_auc,final_id,final_fd,delta_final
er,10,0.5,2,7,23,periodic,6,0.8,-4.433333333333334,49.587725633072175,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.7435237490381504,0.7147547075334769,0.02876904150467352,0.8225119788158032,0.8039535346104122,0.01855844420539099
er,10,0.5,3,7,24,periodic,6,0.8,3.1999999999999993,47.55175104557148,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.8311364560173062,0.8214038865783672,0.009732569438939076,0.8949307933310207,0.9693410341863543,-0.07441024085533365
er,10,0.65,1,7,23,periodic,6,0.8,0.0,52.81907471324219,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.8204928426608248,0.7886274649613272,0.0318653776994976,0.8878061139498081,0.836874045125047,0.05093206882476109
er,10,0.65,2,7,33,periodic,6,0.8,-3.033333333333333,61.957117549348,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.8395923202102273,0.8228093912022262,0.016782929008001157,0.9069240292008864,0.8788644855381356,0.028059543662750874
er,10,0.65,3,7,22,periodic,6,0.8,-2.7333333333333334,46.3282270476653,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.8295269814012817,0.8275443627766762,0.00198261862460547,0.8982507889485062,0.8967082614826837,0.0015425274658225074
er,12,0.2,1,7,12,periodic,6,0.8,4.199999999999999,32.48802184589766,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.7415657681598535,0.6208869632569528,0.12067880490290073,0.8250562687612845,0.7318408332907035,0.09321543547058098
er,12,0.2,2,7,12,periodic,6,0.8,3.4000000000000004,33.29126889358969,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.7465459495803607,0.6577821947925035,0.08876375478785714,0.8410556562792635,0.7820831077899466,0.05897254848931688
er,12,0.2,3,7,15,periodic,6,0.8,0.13333333333333286,34.46433117069974,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.806190334843045,0.6961660327387074,0.11002430210433767,0.8849436619657776,0.7886196783217968,0.09632398364398076
er,12,0.35,1,7,11,periodic,6,0.8,4.166666666666666,32.104949973159876,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.7636843383718573,0.7172912553968663,0.04639308297499101,0.8555126732446496,0.8295596963933273,0.025952976851322362
er,12,0.35,2,7,28,periodic,6,0.8,-3.833333333333333,59.827450904119736,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.7518602505818642,0.694504082690016,0.057356167891848275,0.8017986723126849,0.7924944595531077,0.009304212759577157
er,12,0.35,3,7,26,periodic,6,0.8,-4.6,54.55132260803723,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.7858723029543786,0.8102283365822458,-0.024356033627867202,0.8441160233975318,0.9177183742734718,-0.07360235087594003
er,12,0.5,1,7,32,periodic,6,0.8,-2.1666666666666665,63.0660864776066,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.7983167869064461,0.7608056548851825,0.03751113202126366,0.8560609232857748,0.8243249592254775,0.03173596406029722
er,12,0.5,2,7,41,periodic,6,0.8,-4.9,76.47922151664187,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.7837319941184394,0.7707694857021105,0.012962508416328955,0.84343770109335,0.8270799046007163,0.01635779649263369
er,12,0.5,3,7,29,periodic,6,0.8,-3.2666666666666666,56.31718970628942,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.856581640401303,0.8216798310498908,0.03490180935141218,0.9423663080426248,0.9040521526324619,0.03831415541016292
er,12,0.65,1,7,44,periodic,6,0.8,-2.3666666666666667,82.36191079738774,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.8036609022034272,0.7880754296784263,0.015585472525000976,0.8601854882927227,0.8345838846519552,0.025601603640767467
er,12,0.65,2,7,49,periodic,6,0.8,0.40000000000000036,89.55435445909156,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.8583794042973216,0.8156084214741081,0.042770982823213566,0.9100711889956486,0.8996240723010074,0.010447116694641267
er,12,0.65,3,7,40,periodic,6,0.8,-4.1,76.71301649003846,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.7529978397089239,0.6903806699019555,0.06261716980696841,0.8158645326474503,0.7480611529738208,0.06780337967362948
er,14,0.2,1,7,15,periodic,6,0.8,-3.0,43.13956952835814,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.6191851038841567,0.5830679899771781,0.03611711390697858,0.6755875565844409,0.647812408654437,0.027775147930003907
er,14,0.2,2,7,13,periodic,6,0.8,-4.866666666666666,32.93234220591086,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.8050046487659208,0.7796803103803086,0.02532433838561221,0.8818432080473247,0.8757610866778299,0.0060821213694948195
er,14,0.2,3,7,22,periodic,6,0.8,3.166666666666666,48.42450143729707,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.7678576377883514,0.7458824085692614,0.02197522921909001,0.8516318630901244,0.8275187946952194,0.024113068394905013
